study,d1,n1,d2,n2
1,2,357,0,176
2,2,391,1,207
3,1,774,1,185
4,0,213,1,109
5,1,232,0,116
6,0,43,1,47
7,1,121,0,124
8,5,110,2,114
9,1,382,0,384
10,1,284,0,135
11,0,294,1,302
12,2,563,0,142
13,2,278,1,279
14,2,418,0,212
15,2,395,1,198
16,1,203,1,106
17,1,104,2,99
18,2,212,0,107
19,3,138,1,139
20,0,196,0,96
21,0,122,1,120
22,0,175,1,173
23,1,56,0,58
24,1,39,0,38
25,0,561,2,276
26,2,116,3,111
27,1,148,0,143
28,1,231,0,242
29,1,89,0,88
30,1,168,0,172
31,0,116,0,61
32,1,1172,0,377
33,0,706,0,325
34,1,204,2,185
35,1,288,0,280
36,1,254,0,272
37,1,314,0,154
38,0,162,0,160
39,1,442,0,112
40,1,394,0,124
41,15,2635,9,2634
42,27,1456,41,2895
